created_at,norm_prob,mi_prob,class
2025-04-21T14:53:50.94916+00:00,100,0,NORM
2025-04-21T14:30:00.070516+00:00,97,3,NORM
2025-04-21T08:16:21.141494+00:00,97,3,NORM
2025-04-21T08:14:04.871831+00:00,100,0,NORM
2025-04-21T08:02:39.2047+00:00,100,0,NORM
2025-04-21T07:59:52.657697+00:00,100,0,NORM
2025-04-21T07:46:54.312671+00:00,100,0,NORM
2025-04-21T07:32:20.683471+00:00,0,100,MI
2025-04-21T07:31:26.659171+00:00,88,12,NORM
2025-04-21T07:31:14.915276+00:00,100,0,NORM
2025-04-21T07:31:03.745781+00:00,98,2,NORM
2025-04-20T10:19:14.382839+00:00,99,1,NORM
2025-04-20T07:19:29.977389+00:00,99,1,NORM
2025-04-20T07:12:52.84704+00:00,86,14,NORM
2025-04-20T01:56:41.290355+00:00,0,100,MI
2025-04-19T18:14:04.739724+00:00,93,7,NORM
2025-04-19T17:05:01.225969+00:00,98,2,NORM
2025-04-19T16:21:46.037936+00:00,100,0,NORM
2025-04-19T16:10:03.04128+00:00,99,1,NORM
2025-04-19T16:07:05.099851+00:00,97,3,NORM
2025-04-19T15:52:07.273767+00:00,100,0,NORM
2025-04-19T15:51:50.248591+00:00,98,2,NORM
2025-04-19T15:22:58.948429+00:00,98,2,NORM
2025-04-19T14:55:10.123007+00:00,100,0,NORM
2025-04-19T14:46:23.156038+00:00,9,91,MI
2025-04-19T14:02:08.957154+00:00,100,0,NORM
2025-04-19T14:01:28.626561+00:00,100,0,NORM
